OH,3/22/14,"Graham County Land Company, Hannibal, OH 43931",Worker struck and killed by falling tree. ,Fatality,39.6637014,-80.8716789
MA,3/21/14,"Dolly DYK Cleaning Corp, Boston, MA 02116",Worker killed in fall down elevator shaft. ,Fatality,42.353068,-71.0765188
OK,3/21/14,"Mack's S & S Construction, Catoosa, OK 74015",Worker crushed by dump truck.,Fatality,36.188987,-95.745817
PA,3/20/14,"Baker Hughes, Meshoppen, PA 18630",Worker killed in tractor trailer collision.,Fatality,41.6142427,-76.0465918
ND,3/20/14,"Ensign United States Drilling Inc., Killdeer, ND 58640",Worker struck and killed by traveling blocks while working on a drilling rig.,Fatality,47.3719582,-102.7540751
NE,3/20/14,"Midwest Farmers Cooperative, Tecumseh, NE 68450",Worker died from exposure to anhydrous ammonia released during transfer from tanker trailer to bulk storage tank.,Fatality,40.3667541,-96.1957864
NY,3/20/14,"Volles Dairy Farm LLC, Marietta, NY 13110",Worker performing maintenance on truck was crushed by  hydraulic dump body. ,Fatality,42.9089558,-76.3235422
IL,3/19/14,"Chicago Doorways LLC, Chicago, IL 60611",Worker died after falling from ladder.,Fatality,41.8925085,-87.6161696
CA,3/19/14,"G.E. Drywall, Bella Vista, CA 96008",Worker killed in fall from height.,Fatality,40.6315045,-122.2686718
TX,3/19/14,"Ingram Ready Mix, Converse, TX 78109",Worker struck and run over by truck.     ,Fatality,29.5180081,-98.3161241
CA,3/19/14,"Mendocina County Sheriff's Office, Cleone, CA 95437",Worker shot while in pursuit of suspect.,Fatality,39.4898875,-123.785571
IL,3/18/14,"Will County - ICT Department, Joliet, IL 60432",Worker killed in motor vehicle collision.,Fatality,41.5397073,-88.0460894
IL,3/17/14,"City of Oaks Forest - Police Dept., Oak Forest, IL 60452",Worker responding to domestic violence call struck and killed by a motor vehicle.,Fatality,41.6028116,-87.7439384
MI,3/17/14,"Meekhof Tire Sales and Service, Inc.                                                        Grand Rapids, MI 49503",Worker repairing tire was crushed when truck cab fell on him.,Fatality,42.9616689,-85.6588999
FL,3/17/14,"Varsity Cycle Inc., Wilton Manors, FL 33306",Worker killed in motor vehicle collision.,Fatality,26.1640451,-80.1121493
FL,3/15/14,"BF Fort Myers Inc., Punta Gorda, FL 33951",Worker electrocuted while repairing machine.,Fatality,26.9372428,-82.0494901
CA,3/15/14,"Full Service Scaffold, Sacramento, CA 94203",Worker killed in fall from scaffold platform. ,Fatality,38.58,-121.49
TX,3/15/14,"Nabors Drilling Ltd, Fowlerton, TX 78021",Worker struck and killed by unsecured equipment.,Fatality,28.4655476,-98.8108573
SD,3/15/14,"Prairie Ag Partners, Lake Preston, SD 57249",Worker engulfed by beans while cleaning storage bin.,Fatality,44.3635802,-97.377294
KY,3/15/14,"Saunier Moving and Storage, Smith Grove, KY 42171",Worker killed in truck fire after motor vehicle collision.,Fatality,37.0423064,-86.1548269
TX,3/14/14,"Bruce Babb Chemicals, Rankin, TX 79778",Worker killed in a motor vehicle collision.,Fatality,31.2226477,-101.9379085
WA,3/14/14,"Evergreen Golf Design Inc., Marysville, WA 98271",Worker killed when riding lawnmower flipped over onto him.,Fatality,48.0517637,-122.1770818
TX,3/14/14,"First Graphic Services Inc., Garland, TX 75040",Worker struck and killed by falling signs. ,Fatality,32.9368872,-96.6317461
IA,3/14/14,"Michels Pipeline Construction, Inc., Cedar Rapids, IA 52403",Worker struck and killed by metal boring rods during cutting.,Fatality,41.9781094,-91.5886966
LA,3/14/14,"SIMMCO, Shreveport, LA 71149",Worker struck and killed when pipes rolled off trailer during unloading.,Fatality,32.5247897,-93.7527109
PA,3/13/14,303 E Mifflin St ORWIGSBURG  PA 17961,Worker was run over by delivery truck.,Fatality,40.6551072,-76.0972066
LA,3/13/14,"Bluffs Golf LLC, Saint Francisville, LA 70775",Worker died from head injury after being ejected from golf cart.,Fatality,30.7880721,-91.3768479
NY,3/13/14,"Layton Manufacturing Corporation, Brooklyn, NY 11203",Worker died from carbon monoxide poisoning.,Fatality,40.6515882,-73.9330429
KY,3/12/14,"Stark Truss, Auburn, KY 42206",Worker caught and killed in a press while trying to retrieve a hammer.,Fatality,36.8642088,-86.7102735
PA,3/12/14,"TNT Oil Co., Irvine, PA 16329",Worker was killed when fuel tank exploded. ,Fatality,41.8392258,-79.2683811
AR,3/12/14,"Your Employment Service Staffing Inc., Little Rock, AR 72209",Temporary worker killed in fall from rooftop. ,Fatality,34.6741181,-92.3517526
FL,3/11/14,"Eaton Corporation, Sarasota, FL 34243",Worker struck and killed by a piece of equipment when a jack failed. ,Fatality,27.4081935,-82.5294065
AK,3/11/14,"Glacier Fish Company, Dutch Harbor, AK 99692",Worker struck and killed by heavy object in explosion.,Fatality,53.9013733,-166.5301011
HI,3/11/14,"Higa Meat and Pork Market Limited, Honolulu, HI 96817",Worker killed in fall from pallet of boxes.,Fatality,21.3433967,-157.8390944
TX,3/11/14,"Mastec Advanced Technology, Dallas, TX 75238",Worker killed in motor vehicle collision. ,Fatality,32.8821116,-96.7119409
AR,3/11/14,"Norandal USA Inc., Newport, AR 72112",Worker killed after being caught in machinery while clearing a jam. ,Fatality,35.6048018,-91.2817951
TX,3/11/14,"Strike LLC, Corpus Christi, TX 78401",Four employees hospitalized with burns from a flash fire. ,Catastrophe,27.8028475,-97.4002872
NY,3/10/14,"AC Body Works & Sons LLC, Schenectady, NY 12306",Worker crushed between a truck and carwash spray booth. ,Fatality,42.8142432,-73.9395687
IL,3/10/14,"Behr Iron & Steel Inc., South Beloit, IL 61080",Employer died after being caught in the tail pulley of a shredding machine conveyor belt. ,Fatality,42.4930708,-89.0367763
MN,3/10/14,"Cardinal Transport Inc., Hanover, MN 55341",Worker struck and killed by pipe while loading truck.,Fatality,45.1613544,-93.6546889
