MN,2/21/2011,"Viking Coca Cola Bottling Company, St. Cloud, MN 56303","Worker at a soda bottling company was found dead inside a walk-in freezer.",Unknown,45.5711784,-94.193691
CA,7/26/2011,"Calvin Crest Conference, Oakhurst, CA 93636","Rock climbing instructor died after falling from a 26-foot tower.",Unknown,36.992005,-119.8583772
AZ,8/22/2011,"20/20 Real Estate Review, Inc., Sahuarita, AZ 85629","Worker fell off a ladder.",Unknown,31.9575818,-110.955646
NV,8/25/2011,"Unknown, Boulder City, NV 89006","Worker towing an airplane crashed into a building at an airport.",Unknown,35.9799999,-114.83
NJ,8/28/2011,"Princeton First Aid & Rescue, Princeton, NJ 08540","Worker, attempting to rescue a trapped motorist in fast moving water, drowned after being separated from his tether.",Unknown,40.3572976,-74.6672226
HI,8/29/2011,"Mauna Loa Macadamia Nut Corporation, Keanu, HI 96749","Worker died when he struck a tree after crossing the center line on a private road.",Unknown,19.6053029,-155.0245825
OH,9/6/2011,"Bryan Shirk, Upper Arlington, OH 43221","Worker was trimming trees from a truck-mounted basket lift, and was killed after being thrown from the basket and falling nearly 30 feet to the ground.",Unknown,39.9945084,-83.0624078
FL,9/10/2011,"APER Construction, Port of Miami, FL 33132","Worker operating an excavator died when he was thrown forward in the cab and hit his head on the machine's support bar.",Unknown,25.7741667,-80.1711111
PA,9/19/2011,"KG Construction, Saltsburg, PA 15681","Worker moving an aluminum materials lift was killed when the lift touched an energized powerline.",Unknown,40.4864553,-79.4514298
MI,9/20/2011,"A-1 Tree and Landscape, Lansing, MI 48911","Worker cutting trees died after a falling branch struck him, causing him to fall 40 feet.",Unknown,42.6663024,-84.5536678
NJ,9/20/2011,"Al and John, Inc., T/A Glen Rock Hams, Paterson, NJ 07503","Worker cleaning a meat mixer died when he fell into the machine.",Unknown,40.8955467,-74.156292
HI,9/21/2011,"Gozip LLC, Hilo, HI 96720","One worker was killed and another worker was hospitalized after a zipline tower collapsed.",Unknown,19.7297222,-155.09
HI,9/22/2011,"Aloha Tree Experts, Kailua, HI 96734","Worker was killed when he fell 28 feet from a tree that fell over at its base.",Unknown,21.4022222,-157.7394444
CA,9/23/2011,"George Pagany Farms, West Sacramento, CA 95691","Field laborer died from possible heat illness.",Unknown,38.5804609,-121.530234
CA,9/23/2011,"Witten Logging Co., Tehachapi, CA 93561","Logger cutting trees was struck and killed by a large falling limb.",Unknown,35.1321877,-118.4489739
PA,9/24/2011,"E &R Construction, Washington Boro, PA 17582","Worker died from head injuries when he slipped and fell 15 feet from a ladder.",Unknown,39.9879524,-76.4447397
TX,9/26/2011,"Demas Enterprises, Inc., Dallas, TX 55210","Worker who was cleaning while standing on the roof of a gondola lift died after striking his head and falling off the lift.",Unknown,--,--
MA,9/26/2011,"GreenLeaf's Tree Service, Inc., Chelmsford, MA 01824","Worker performing tree removal activities died after falling 70 feet while climbing from a crane to the tree.",Unknown,42.6004425,-71.3468091
FL,9/26/2011,"Mohawk Industries, Orlando, FL 32819","Worker was found unresponsive on a warehouse floor.",Unknown,28.4630493,-81.460856
NC,9/26/2011,"Murphy-Brown, LLC, Laurinburg, NC 28352","Worker trying to access an auger motor died after becoming entangled in the machine.",Unknown,34.7740494,-79.4628248
MN,9/27/2011,"Blooming Prairie Well Co., Blooming Prairie, MN 55917","Worker was killed after he was struck in head by a 35-pound weight that fell 30 feet from a broken cable.",Unknown,43.8666294,-93.0488091
FL,9/27/2011,"Monroe Drywall Construction, Panama City, FL 32405","Worker installing drywall was electrocuted when he touched a 480-volt wire.",Unknown,30.1917155,-85.6743082
CA,9/28/2011,"Performance Welding & Machine, Fresno, CA 93725","Worker was electrocuted while using a welder that was not grounded properly.",Unknown,36.6765725,-119.7194377
LA,9/28/2011,"R & R Construction, Inc., Westlake, LA 70669","Worker attempting to attach slings from a metal bar to a crane was electrocuted when he touched an energized bus bar.",Unknown,30.2421496,-93.2507099
CA,9/30/2011,"F & T Farms, Caruthers, CA 93609","Worker operating a farm vehicle was killed when he hit a gate and a metal pipe struck his head.",Unknown,36.5427271,-119.8331965
IN,8/12/2011,"Nicholas Cable Communications, Terre Haute, IN 47801","Worker discovered unconscious while using a trencher to install underground TV cable.",Unknown,39.47,-87.41
MI,9/19/2011,"The Indian Club, Irons, MI 49644","Worker suffered burns and died from asphyxiation after a storage facility fire.",Unknown,44.1179866,-85.9100089
PA,9/21/2011,"Livengood Excavators, Palmerton, PA 18071","Worker was killed when his dump truck overturned, rolled down a hill and landed on top of him.",Unknown,40.8014826,-75.6101867
ME,9/21/2011,"Stevens Electric & Pump Service, Inc., Kennebunkport, ME 04046","Two workers died from overexposure to hydrogen sulfide while inside a sewer tank.",Unknown,43.3617327,-70.4767274
OK,9/22/2011,"Reproduction Services, Inc., Stillwater, OK 74075","Worker, on the roof of a barn he was building, died when he fell through a skylight, hitting the floor below.",Unknown,36.1156071,-97.0583681
MI,9/29/2011,"Integral Bldrs LLC, Dewitt, MI 48820","Worker building an addition on a barn was electrocuted after touching a 4,800-volt powerline.",Unknown,42.7924727,-84.5431867
IL,9/30/2011,"Austin Tyler Construction, LLC., Lockport, IL 60441","Worker was struck by a truck.",Unknown,41.5894752,-88.057837
NE,9/30/2011,"Commercial Construction, Inc., Kearney, NE 68924","Worker using a dozer to fill a lake with sand drowned when the sand could not support the equipment's weight.",Unknown,40.456647,-99.1234795
PA,9/30/2011,"Greenstar Recycling, Northampton, PA 18067","Worker performing maintenance on a baler was killed when falling cardboard caused him to fall back onto a protruding machine part.",Unknown,40.6862075,-75.4968501
PA,9/30/2011,"Steve Wolota General Contractor, McKees Rocks, PA 15136","Worker performing roofing work died after falling more than 10 feet to the ground.",Unknown,40.4656244,-80.0656106
TX,10/3/2011,"TNK & Servives, Inc., Sonora, TX 76950","Worker checking an air leak underneath a truck was killed when the vehicle ran over him, dragging him 80 feet.",Unknown,30.5668484,-100.6434273
CO,10/4/2011,"US Army Environmental Division, Trinidad, CO 81082","Worker was injured during a vehicle accident.",Unknown,37.1694632,-104.5005407
TX,10/5/2011,"All Tree, Brenham, TX 77833","Worker using a pole saw to trim trees was electrocuted when the saw touched a powerline.",Unknown,30.1668828,-96.3977442
IN,10/5/2011,"Power Source, Zionsville, IN 46077","Worker died after falling 22 feet when an open basket door became caught.",Unknown,39.9508733,-86.261937
NM,10/10/2011,"D & H Pump Service, dba D&H Petroleum and Environ, Albuquerque, NM 87113","Worker died from injuries sustained when a fuel dispenser fell on him.",Unknown,35.1894316,-106.5878723
GA,10/24/2011,"R.L. Mitchell, Lyons, GA 30436","Worker installing metal roof panels on a warehouse building died after falling 21 feet through a roof opening.",Unknown,33.1960375,-82.6223414
ND,10/27/2011,"Noble Casing Incorporated, Watford City, ND 58854","Worker was killed in a vehicle roll-over incident while enroute to a job site.",Unknown,47.8022412,-103.2832467
PA,10/27/2011,"Walter R Lindenmuth Lumber & Supply, LLC, Green Point, PA 17038","Worker changing knife blades on a wood chipper was killed when he was caught between the chipper's spout and mounting plate.",Unknown,40.4809222,-76.5516307
OH,10/28/2011,"Arberia, LLC, Lakewood, OH 44107","Worker was killed when he fell 15 feet from a collapsed roof.",Unknown,41.4836446,-81.806039
NY,10/28/2011,"Intercounty Paving Associates of NY, LLC, Hicksville, NY 11801","Worker was struck by a motor vehicle.",Unknown,40.7684331,-73.5251253
KS,10/29/2011,"Bartlett Grain Company, LP, Atchison, KS 66002","Four workers were killed in a grain elevator explosion and fire.",Unknown,39.5630521,-95.1216356
