FL,6/23/09,"L.B. Thompson Inc., Tampa, FL 33610","Victim was inside a building bundling material and became ill, possible heat stroke.",Unknown,28.0007147,-82.3831561,1
TX,6/30/09,"Presiliana Zamora, Conroe, TX 77304",Victim was on a scaffold doing repairs on an archway and the scaffold collapsed.,Unknown,30.3315253,-95.509247,1
FL,7/6/09,"Cesar Tapia, Miami, FL 33166","Victim was conducting roofing work, and fell through a hole in the roof, 25 feet to the concrete floor below.",Unknown,25.8235041,-80.3101684,1
NE,7/9/09,"Knobel Refrigeration, Inc., North Platte, NE 69103",Victim was climbing a ladder while servicing an air-conditioning unit and fell from the ladder.,Unknown,41.12,-100.77,1
PA,7/11/09,"Greensburg, PA 15601","Employees were throwing away old files. They had a dumpster on the forks in the raised position. In bringing the dumpster down on the forks, the load became unstable. Victim stood on the rear of the forklift to act as a counterbalance. The dumpster fell off the trucs, causing forktruck to lunge forward and the victim to strike his head on the overhead guard, falling to the ground.",Unknown,40.3014581,-79.5389289,1
CO,7/11/09,"Lighthouse Electric, Boulder, CO 80301",Fatality at a bookstore under construction.,Unknown,40.0406506,-105.2077798,1
MS,7/15/09,"Priority Energy Services, LLC, Raleigh, MS 39153","Victim was pressure testing a new metering station at a new pipeline construction project, when an explosion occurred.",Unknown,32.033488,-89.5222911,1
GA,7/16/09,"KM Davis Contracting Co., Inc., Marietta, GA 30008",Victim was standing on the side of the road and was struck by a car.,Unknown,33.8955185,-84.5903367,1
TX,7/18/09,"Jenkins Electric, Post, TX 79356","Victim was working on a pole replacing a transformer, 14,400KV, and was electrocuted.",Unknown,33.1909283,-101.3781941,1
TX,7/18/09,"Lariat Communications, De Kalb, TX 75559",Victim was installing coax cable hangers down the face of an existing tower and fell 60 to 100 feet.,Unknown,33.5087256,-94.616319,1
KS,7/18/09,"Larry Walty Roofing and Guttering, Inc,, Wichita, KS 67208",Victim was on a roof preparing an estimate. He started to come down from the roof and the ladder became dislodged. Victim fell 12 feet to the concrete driveway.,Unknown,37.701103,-97.276076,1
NE,7/18/09,"Newohmer Brothers Feed Lot, Elgin, NE 68636",Victim was herding cattle for the feedlot from a horse. The horse stumbled and fell. Victim subsequently fell.,Unknown,41.9833412,-98.0836773,1
AL,7/20/09,"Art Iron Works, Inc., Onconta, AL 35121","Victim was in the process of assembling a transition box, while removing the brace the box collapsed, crushing him.",Unknown,33.9459806,-86.438974,1
AR,7/21/09,"Fort Smith Garage Doors, Kibler, AR 72921",Victim was installing an overhead garage door. He was using a truck-mounted generator/welder to generate power for his tools. He was found unresponsive in the bed of the truck. Victim was electrocuted.,Unknown,35.4303663,-94.231598,1
