AR,9/27/13,"Affordable Homes Super Center Inc, Lafe, AR 72436",Worker struck and killed by an outrigger while lowering a manufactured home onto blocks.,Fatality,36.2042316,-90.5139956
FL,9/27/13,"Bill Moen, Sole Proprietor, Tampa, FL 33664",Worker trimming a tree on a step ladder died after being struck by a tree limb and falling to the ground.,Fatality,27.97,-82.52
IN,9/27/13,"B-Mack Wireless Inc., Indianapolis, IN 46219",Worker was crushed by a boom on crane being used to lift generator. ,Fatality,39.7803581,-86.0427626
ID,9/27/13,"Bureau of Land Management, National Interagency Fire Center, Great Basin Smoke Jumpers, Glenns Ferry, ID 83623",Smokejumper died when his parachute canopy failed to deploy.,Fatality,42.9548989,-115.3009037
LA,9/27/13,"Home Furniture Company, Lafayette, LA 70507",Worker died when the dock underneath the tow tractor he was operating suddenly collapsed.,Fatality,30.270113,-92.037116
OH,9/27/13,"Klosterman Baking Company, College Corner, OH 45003",Worker died after being pinned between a truck and a dumpster when the truck rolled.,Fatality,39.5675514,-84.8144004
GA,9/27/13,"Loram Maintenance of Way Inc., College Park, GA 30337",Worker crushed and killed by a light rail grinder train car.,Fatality,33.6534427,-84.4493725
TX,9/27/13,"Robert Morey, Austin, TX 78732",Worker died after falling from the 2nd story framing level.,Fatality,30.3788578,-97.8923749
IA,9/26/13,"Iowa Erosion Control Inc., Liberty Center, IA 50166",Worker performing construction road flagger duties was struck and killed by a truck.  ,Fatality,41.289829,-93.4397386
MO,9/26/13,"Robertson Contractors Inc, Poplar Bluff, MO 63901",Equipment operator drowned when an excavator tipped and the cab became submerged in water.,Fatality,36.7569994,-90.392888
CA,9/26/13,"Tehama County at Long Ranch, Tehama, CA 96090",Worker died when caught between the hitch and trailer of a dump truck. ,Fatality,40.0233664,-122.1220856
IL,9/26/13,"Terry Rimiller, Chicago, IL 60621",Worker died after falling from roof. ,Fatality,41.775305,-87.6416419
PA,9/25/13,"111 East Reistville RoadLantz Family Farm, Myerstown, PA 17067",Worker loading a mechanical harvester died when his leg got caught on a corn bale and pulled into the machine.,Fatality,40.3745363,-76.3027318
VT,9/25/13,"Case Street Redi-Mix Inc., Hancock, VT 05748",Cement truck worker killed in vehicle crash.,Fatality,43.9261192,-72.8412292
CO,9/25/13,"M Daniel's Trucking LLC, Golden, CO 80402",Worker struck and killed by a dump truck. ,Fatality,39.7408671,-105.2018568
KY,9/25/13,"Metal Systems F&E LLC, Wilder, KY 41071",Worker died after falling 25 feet while installing steel and insulation on deck.,Fatality,39.0472222,-84.4775
IN,9/25/13,"Ricker Oil Company Inc. (DBA Ricker Gas Station), Indianapolis, IN 46254",Worker shot during a store robbery. ,Fatality,39.8494377,-86.2666463
OK,9/25/13,"Terrys Construction Blackwell OK 74631""", Worker died after falling 33 feet from aerial lift. ,Fatality,36.8044767,-97.2828207
CA,9/25/13,"Weiser Security Services Inc., Rancho Cucamonga, CA 91730",Worker was run over by truck. ,Fatality,34.0965313,-117.5848025
TX,9/24/13,"Berry Brothers General Contractors, Falls City, TX 78113",Five workers were hospitalized after being scalded by heated water released from a failed pressure valve on the machine they were cleaning.,Catastrophe,28.9827507,-98.0175047
CA,9/24/13,"First Electrical Service, Honda Center, Anaheim, CA 92806",Worker electrocuted.,Fatality,36.7606931,-121.7657346
CO,9/24/13,"Forney Industries Inc., Fort Collins, CO 80521",Worker struck and killed by a passing automobile.,Fatality,40.5889664,-105.1375908
DE,9/23/13,"Austin & Bednash Construction Inc., Middletown, DE 19709",Worker died when the walls of the trench he was working in collapsed.,Fatality,39.449556,-75.7163207
MO,9/23/13,"D & K ROOFING LLC, Waynesville, MO 65583",Roofer died after falling 16 feet when part of the roof broke away. ,Fatality,37.8286516,-92.2007227
TX,9/23/13,"G.W. Drywall, San Antonio, TX 78231",Worker died after falling 19 feet from platform.,Fatality,29.580333,-98.5418899
CA,9/23/13,"LP Trucking LLC, Los Angeles, CA 90069",Worker was struck and killed by window that tipped off back of truck.,Fatality,34.0931603,-118.3783347
TX,9/23/13,"Megadyne Services Co., Barstow, TX 79719",Worker on an oil well was struck and killed when part of the drill's overhead piston pump fell on him.,Fatality,31.4612451,-103.3937815
AL,9/23/13,"Southern Gas and Supply, Theodore, AL 36582",Worker struck and killed by a high-pressure release from a liquid carbon dioxide tank. ,Fatality,30.5476941,-88.1752796
MN,9/22/13,"Brighton Window Cleaning, St. Cloud, MN 56301",Worker died after falling six stories while washing windows.,Fatality,45.5579451,-94.1632404
