IN,5/8/10,"Carmel High School, Carmel, IN 46033",Maintenance worker was fatally injured when the riding lawn mower he was using exploded.,Unknown,39.9797222,-86.1194444,1
FL,5/9/10,"A Class Towing Corp., Miami, FL 33145",Worker was getting out of his tow truck and was struck by a motor vehicle.,Unknown,25.7534663,-80.2265545,1
TN,5/10/10,"Mr. Bult's Inc., Antioch, TN 37013","Worker was buried under waste being pushed into a trailer by a bulldozer, and suffocated.",Unknown,36.0592679,-86.6706077,1
CA,5/11/10,"First Baptist Church of Alhambra, Alhambra, CA 91801",Maintenance worker was overcome while using a chemical stripper to prepare for painting.,Unknown,34.0837958,-118.1181199,1
CA,5/12/10,"Reliable Container Corporation, San Francisco, CA 90670",Worker suffered fatal injuries after being pinned between a forklift and machine.,Unknown,33.9414796,-118.0712981,1
NY,4/12/10,"Roosevelt Fire Department, Engine Co. #1, Hyde Park, NY 12538",Worker died after developing chest pains while training.,Unknown,41.7667602,-73.9015246,1
IN,5/11/10,"Hixon Home Improvement, Highland, IN 46322","Worker died from head injuries after falling down stairs, while moving a chest freezer.",Unknown,41.5434996,-87.4703029,1
CA,5/12/10,"FS Commercial Landscaping, Carson, CA 92509",Worker died after he began vomiting and shaking. He was moved to the shade and first aid was administered (presumed heat stress).,Unknown,33.9996052,-117.4321452,1
MD,5/13/10,"A & M Carpentry, Olney, MD 20832",Worker died after falling 23 feet from an extension ladder.,Unknown,39.1457139,-77.067959,1
NV,5/13/10,"John Davis Trucking Company, Battle Mountain, NV 89820",Driver suffered fatal injuries after truck left the road and overturned.,Unknown,40.6421334,-116.9342671,1
NC,5/14/10,"NC State Natural Resources Foundation, Inc., Maysville, NC 28555",Worker died after being backed over by a truck while walking along the road.,Unknown,34.9048814,-77.2313436,1
NV,5/15/10,"Super Mart Convenience Store, Las Vegas, NV 89108",Convenience store worker died after being shot during a robbery.,Unknown,36.2030945,-115.2244853,1
TN,5/19/10,"Ellis Arms Logging, Wartburg, TN 37912",Worker died after being struck by a tree during a logging operation.Ê The tree was supposed to fall in the opposite direction.,Unknown,36.0091467,-83.9797173,1
UT,1/19/10,"Sabinsa Corp., Payson, UT 84651",Worker died after inhaling a selenium compound.,Unknown,40.0443989,-111.7321518,1
KY,5/19/10,"Louisville Metro Public Works & Assets Department, Louisville, KY 40217",Sanitation worker died after being struck by a garbage truck.,Unknown,38.2131874,-85.7410262,1
CA,5/22/10,"Brinkley Farms, Dos Palos, CA 93620","Worker servicing the hydraulic system on cultivator tractor, was crushed by the cultivator tractor tire.",Unknown,36.9860582,-120.6265722,1
IL,5/22/10,"Scales Mound Fire Department, Scales Mound, IL 61075",Worker searching for missing person was killed when his all-terrain vehicle (ATV) struck a deer and rolled over.,Unknown,42.474397,-90.2528077,1
